DISTRICT,Murder,Sex Crime,Missing,Robbery,Theft,Public Nuisance,Fraud,Arson,Gun Violence,Assault,Harrassment,Human Trafficking,Accident,Others,total
ADILABAD,339,1344,1508,2828,7928,1016,2219,395,16392,1785,5368,0,3593,20579,61959
ANANTAPUR,225,532,1678,2918,12158,1293,1799,444,17682,2026,2267,0,5058,15861,59927
CHITTOOR,294,736,1814,3080,22154,973,3215,419,13543,1381,5462,0,8168,24575,75471
CUDDAPAH,184,596,1306,1694,9060,1326,2278,337,14301,1708,2328,0,4815,21993,58147
EAST GODAVARI,251,998,1560,5344,27066,768,4574,479,31514,1920,6511,0,6655,18113,93193
GUNTAKAL RLY.,5,6,20,46,4182,4,89,2,75,19,24,0,32,754,3232
GUNTUR,252,1052,1938,3956,26330,1204,5050,692,22209,2881,8044,0,6110,28932,97091
HYDERABAD,462,1424,2932,14506,112334,2432,24075,433,47343,2088,15796,2,5966,28465,202931
KARIMNAGAR,692,1706,3068,3722,15176,2011,6242,685,31334,3833,9628,1,5474,20258,96728
KHAMMAM,265,1442,1838,2983,12012,1667,2584,439,18111,2247,6615,0,4980,19238,68903
KRISHNA,188,1056,1300,2542,14004,468,2257,545,27498,2865,6714,0,4060,10884,67845
KURNOOL,196,838,1570,2810,9842,1340,3247,380,19228,3504,5174,0,5479,23411,73883
MAHABOOBNAGAR,581,1728,1740,3451,18086,1265,2145,650,19861,2061,3219,0,6896,17908,71938
MEDAK,521,1076,1278,3866,12546,841,2633,645,21372,1295,4205,0,6935,10040,61927
NALGONDA,461,1396,1744,3275,11834,1612,3170,845,19199,2738,5217,0,7657,31483,85368
NELLORE,156,976,1774,3312,17246,875,2890,647,24134,2413,4973,0,4817,15201,71475
NIZAMABAD,383,824,1260,3950,12054,816,2740,448,21756,1013,5802,3,4289,11648,61912
PRAKASHAM,156,636,1516,2542,10264,719,2781,559,17332,2197,3285,0,4549,17924,60364
RANGA REDDY,347,676,900,3549,8520,392,1942,452,13892,741,2317,7,2970,7811,41037
SECUNDERABAD RLY.,9,14,18,68,9638,16,225,2,138,20,15,0,33,690,6163
SRIKAKULAM,122,548,434,1527,5160,469,1155,295,13049,893,3207,0,3165,12699,40293
VIJAYAWADA,49,268,748,3323,24556,62,3417,119,9360,569,4328,0,1212,3678,39350
VIJAYAWADA RLY.,4,8,18,43,8454,14,155,1,146,35,25,0,41,467,5216
VISAKHA RURAL,93,456,382,1328,4520,787,1070,270,14824,793,2241,0,3756,7016,35912
VISAKHAPATNAM,115,686,806,4235,22912,152,4010,129,8827,598,5144,0,3451,15647,55171
VIZIANAGARAM,82,446,354,1469,5220,181,1127,114,7865,832,3475,0,2723,16182,37750
WARANGAL,506,1242,2218,3508,11694,3069,3260,324,18544,2467,3563,0,4544,25944,75347
WEST GODAVARI,270,2124,2248,4456,27694,754,5321,462,23937,3859,8384,0,6031,18401,90029
TOTAL,7978,26958,42478,107008,574380,27459,114078,11968,546565,51999,155138,17,138435,482252,2018981
CYBERABAD,533,1282,2796,12859,59330,559,12685,491,32697,1372,12100,4,10314,23701,141743
VIJAYAWADA CITY,117,400,970,1899,18850,55,3172,144,11687,1190,6325,0,2138,5032,42500
GUNTUR URBAN,33,138,200,484,4994,23,880,33,2398,218,1575,0,690,2569,11828
RAJAHMUNDRY,14,76,150,385,2190,12,346,12,2104,140,576,0,484,841,6288
TIRUPATHI URBAN,19,64,144,531,4210,84,593,21,2077,99,336,0,649,1340,8164
WARANGAL URBAN,54,164,248,519,2162,200,732,55,2136,199,895,0,701,2967,9896
