DISTRICT,Murder,Sex Crime,Missing,Robbery,Theft,Public Nuisance,Fraud,Arson,Gun Violence,Assault,Harrassment,Human Trafficking,Accident,Others,total
CHANGLANG,8,106,156,318,756,16,85,20,398,36,23,0,31,632,2201
DIBANG VALLEY,1,60,96,201,546,28,33,12,298,36,17,0,29,367,1444
KAMENG EAST,1,50,92,213,402,22,43,1,419,49,3,0,28,369,1481
KAMENG WEST,4,14,52,148,428,11,45,3,290,27,3,0,130,320,1297
LOHIT,1,100,192,297,782,13,56,21,349,69,5,0,102,529,2154
PAPUM PARE,3,142,364,866,2878,75,358,64,858,113,45,0,139,1485,5853
SIANG EAST,4,200,182,445,1352,36,82,15,528,105,13,0,55,647,2874
SIANG UPPER,1,42,36,105,298,6,40,12,142,28,4,0,12,144,716
SIANG WEST,5,106,180,354,1082,61,114,45,626,122,40,0,45,952,3160
SUBANSIRI LOWER,4,32,90,231,426,25,43,19,254,46,2,0,33,447,1460
SUBANSIRI UPPER,1,52,76,206,400,22,62,20,485,65,14,0,39,513,1767
TAWANG,1,10,2,82,284,4,20,0,73,31,5,0,38,163,580
TIRAP,4,28,134,279,484,6,37,6,261,36,3,0,22,546,1627
TOTAL,38,1000,1714,3887,10356,340,1077,250,5157,784,185,0,745,7396,27652
K/KUMEY,0,34,34,65,116,4,30,5,73,3,2,0,17,150,507
UPPER DIBANG VALLEY,0,0,4,34,36,5,5,0,18,1,0,0,6,42,148
ANJAW,0,2,2,11,24,1,2,0,19,0,2,0,12,20,85
RURAL,0,22,22,32,62,5,22,7,66,17,4,0,7,70,298
