DISTRICT,Murder,Sex Crime,Missing,Robbery,Theft,Public Nuisance,Fraud,Arson,Gun Violence,Assault,Harrassment,Human Trafficking,Accident,Others,total
BARPETA,125,1820,2732,2244,4710,2619,942,190,2071,467,2428,0,1407,10333,28180
BONGAIGAON,64,956,1238,1208,2632,829,441,65,1118,175,1101,0,807,4284,12893
C.I.D.,0,8,16,2,28,0,118,0,0,0,0,0,0,236,384
CACHAR,114,1568,3182,3147,11722,3769,1351,558,2856,920,4173,0,2681,19550,48300
DARRANG,66,1568,2158,1653,4072,675,926,186,3235,1438,1650,0,1125,5432,20878
DHEMAJI,33,1454,1274,550,2796,236,379,156,2385,374,1058,0,478,2802,11695
DHUBRI,139,2726,3590,1814,4370,5698,1763,421,4885,1549,4346,0,1905,6385,35176
DIBRUGARH,81,1182,2222,1673,10198,420,801,294,4048,564,1075,0,1976,6517,25682
G.R.P.,2,36,90,220,3104,107,96,15,104,12,31,0,33,1261,3589
GOALPARA,46,1540,1658,1190,3608,1288,464,149,1767,400,1923,4,902,5262,17342
GOLAGHAT,47,1226,2240,1469,6050,140,726,262,3772,500,1227,0,1442,3368,18697
GUWAHATI CITY,254,1364,5918,8614,37206,2037,3842,218,6441,1098,1932,0,2459,26625,76930
HAILAKANDI,44,866,1308,931,2314,1841,385,242,616,235,783,0,279,4505,12438
JORHAT,49,952,1340,1338,6208,446,755,157,2818,516,1082,0,1133,4674,17883
KAMRUP,140,1228,2634,2134,7152,1089,990,155,2308,498,1070,0,931,11365,26853
KARBI ANGLONG,27,342,900,557,2994,424,223,158,639,105,184,0,521,2357,8154
KARIMGANJ,92,794,1172,1095,3308,1927,382,231,1247,89,1279,1,420,4920,14965
KOKRAJHAR,39,798,1386,781,3158,3523,387,2485,1874,342,762,2,694,2457,16995
LAKHIMPUR,56,1468,2476,1144,5108,712,730,193,4458,502,1584,0,1273,5671,21468
MORIGAON,64,1316,1504,816,2424,970,492,61,2784,510,898,0,643,3148,13375
N.C.HILLS,39,66,332,221,930,57,85,76,286,26,96,0,139,609,2721
NAGAON,154,2928,5212,4759,9990,3192,1811,640,7055,1125,4978,0,3137,13736,51277
NALBARI,37,644,1392,1355,3144,141,453,143,3078,553,609,0,446,4323,14382
R.P.O.,0,100,60,75,258,104,11,2,15,5,22,0,1,508,1016
SIBSAGAR,51,1310,2314,1568,8618,554,900,247,2949,616,1312,0,869,7782,24118
SONITPUR,103,1784,3398,2564,9544,1307,1081,210,3047,416,2317,1,2885,10978,33647
TINSUKIA,64,1158,2112,2290,12082,441,746,142,1755,219,780,0,975,7443,23896
TOTAL,1994,32356,55878,46642,170950,34963,21691,7918,69183,13620,39500,8,30205,181354,597764
BASKA,19,246,512,201,580,38,99,46,513,83,114,0,137,999,3269
CHIRANG,18,398,562,372,864,184,121,82,252,91,402,0,184,1662,4505
UDALGURI,24,438,790,594,1498,189,145,127,720,186,266,0,283,1916,6226
BAKSA,3,66,124,41,208,3,20,4,66,4,15,0,31,233,664
BIEO,0,0,0,0,0,0,16,0,0,0,0,0,0,0,16
HAMREN,0,6,32,22,72,3,10,3,21,2,3,0,9,13,150
