DISTRICT,Murder,Sex Crime,Missing,Robbery,Theft,Public Nuisance,Fraud,Arson,Gun Violence,Assault,Harrassment,Human Trafficking,Accident,Others,total
BALRAMPUR,37,978,116,773,744,269,78,63,1197,475,267,0,369,2837,7891
BILASPUR,282,1546,652,6960,17040,1965,849,311,13846,2037,1424,0,2366,23680,65040
BIZAPUR,6,126,102,393,218,124,40,123,182,43,19,0,109,919,3933
DANTEWARA,8,272,186,739,1216,230,91,135,652,143,59,0,441,3271,8092
DHAMTARI,20,668,166,1519,2870,271,265,57,1050,667,253,0,954,8826,16040
DURG,172,2804,980,7297,20204,702,1513,337,5234,2835,1820,1,3039,50643,87167
GRP RAIPUR,7,38,32,133,5326,23,27,3,141,35,19,0,12,848,4007
JAGDALPUR,31,1486,326,1985,3296,494,292,117,3897,553,235,0,1260,11816,24443
JANJGIR,142,924,248,2893,6502,1154,520,217,6806,1220,1254,0,1400,11656,31993
JASHPUR,37,1426,526,1230,1886,220,267,86,1222,554,222,0,710,5008,12327
KANKER,24,628,204,990,1378,319,125,152,514,325,178,0,678,6523,11795
KAWARDHA,3,70,2,73,86,10,6,4,167,45,19,0,12,236,685
KORBA,78,866,178,2371,6576,566,433,110,6154,896,552,0,1629,10865,28108
KORIYA,35,1292,210,2180,3032,269,228,103,4507,1009,507,1,707,6254,18734
MAHASAMUND,66,718,256,1669,4124,300,349,90,2195,729,317,0,1406,8894,18975
RAIGARH,95,1114,290,3146,8106,799,646,172,5150,1022,501,0,1670,10498,29582
RAIPUR,218,3120,1034,8946,28134,1400,2209,436,19660,2746,1769,2,4938,38049,98510
RAJNANDGAON,96,1328,264,2652,5098,376,439,187,1251,893,554,1,1258,21070,32999
SARGUJA,40,2300,398,2789,4926,682,370,189,1716,1390,488,0,685,12461,25863
TOTAL,1490,23676,6690,51405,125746,10897,9281,3147,85026,19165,11298,5,25432,245855,561027
KABIRDHAM,39,536,130,940,1986,316,182,64,4922,670,312,0,502,4170,13753
NARAYANPUR,1,50,56,166,148,5,21,61,191,28,9,0,67,398,1610
SURAJPUR,32,1088,172,979,1654,261,218,61,2755,553,373,0,721,3424,11397
GARIYABAND,8,80,20,99,226,24,20,15,534,58,20,0,80,429,1518
BALOD,6,44,14,78,150,14,29,4,24,50,10,0,93,688,1117
BALODA BAZAR,2,90,36,211,362,39,24,20,858,98,47,0,131,655,2371
BEMETARA,3,48,38,65,210,19,17,6,30,61,34,0,87,826,1323
KONDAGAON,0,22,14,20,46,3,3,2,126,4,5,0,54,250,537
MUNGELI,2,12,26,92,188,40,18,12,31,24,29,0,39,590,1012
SUKMA,0,2,14,17,14,3,2,10,14,2,2,0,15,71,205
