DISTRICT,Murder,Sex Crime,Missing,Robbery,Theft,Public Nuisance,Fraud,Arson,Gun Violence,Assault,Harrassment,Human Trafficking,Accident,Others,total
CENTRAL,118,562,2170,1486,31174,54,2468,24,1755,419,737,1,124,13559,38329
DELHI,2465,12848,50166,31638,463092,996,31373,564,22210,7534,16898,1,7503,237457,633174
EAST,249,1286,5586,3206,58330,148,2308,72,2649,1000,2025,0,985,21920,68298
G.R.P.(RLY),10,16,50,66,11698,3,123,9,49,18,2,0,4,410,6641
I.G.I. AIRPORT,2,2,24,16,532,7,2031,1,14,14,6,0,4,310,2700
NEW DELHI,27,168,606,801,18636,93,2936,19,394,266,224,0,749,8325,23713
NORTH,142,520,2450,1664,24758,69,2257,54,1603,346,924,0,105,16949,38613
NORTH EAST,86,390,1304,907,7336,27,444,7,946,148,324,0,182,5328,13427
NORTH WEST,160,950,3068,2490,19850,52,884,40,1429,434,670,0,160,18622,37814
S.T.F.,0,2,0,10,4,0,86,0,0,1,0,0,0,40,158
SOUTH,285,1678,4780,5318,74934,173,4354,58,2167,1124,1770,0,652,37742,95628
SOUTH WEST,87,492,1030,1733,13034,90,894,33,642,242,354,0,248,9320,21314
WEST,346,1608,5398,3584,54066,46,2543,83,3072,784,2482,0,961,31794,77547
SPL CELL,0,0,0,1,2,0,81,0,0,0,0,0,0,39,133
IGI AIRPORT,2,2,70,27,1500,3,2807,0,6,36,8,0,40,1426,5151
NORTH-EAST,246,1130,5466,1646,30530,47,1013,23,2173,660,1758,0,1228,12964,41292
NORTH-WEST,177,1390,5040,3308,35270,42,1439,31,1630,555,1688,0,181,19644,50681
SOUTH-WEST,198,1002,3808,2168,22580,62,1352,44,1048,500,1314,0,304,16661,38093
GRP(RLY),6,38,230,89,10618,5,124,4,59,27,10,0,4,598,6442
STF,0,0,2,5,2,0,65,1,0,0,0,0,0,71,181
OUTER,214,820,5306,1865,23250,35,1034,33,1382,417,1160,0,234,11905,33853
CAW,0,2,0,0,0,0,0,0,2,3,789,0,0,1,796
CRIME BRANCH,0,8,8,1,34,0,239,0,0,0,0,0,0,104,393
EOW,0,0,0,0,0,0,689,0,0,1,3,0,0,90,783
SOUTH-EAST,110,782,3770,1247,24954,40,1202,28,1190,539,650,0,1338,9635,31194
