DISTRICT,Murder,Sex Crime,Missing,Robbery,Theft,Public Nuisance,Fraud,Arson,Gun Violence,Assault,Harrassment,Human Trafficking,Accident,Others,total
AHMEDABAD,184,1012,4602,15188,115310,2434,6197,79,16439,820,11895,0,2084,100241,218005
AHMEDABAD RURAL,33,170,932,1809,7184,687,833,186,4117,253,1218,0,3543,20272,37699
AHWA-DANG,1,58,12,65,208,51,49,18,259,29,72,0,225,1238,2237
AMRELI,25,192,1170,1514,4224,519,635,116,3518,272,1544,0,1269,15119,27751
ANAND,22,234,1002,1878,9712,547,1235,200,4669,300,2051,0,2576,21930,41373
BHARUCH,4,236,604,1918,8398,543,1159,264,3672,214,679,0,3033,17654,34364
BHAVNAGAR,35,300,1970,4190,17286,1746,2161,346,2624,651,2669,0,42,40473,65714
DAHOD,21,174,836,1925,3690,608,215,286,4181,246,329,0,544,9036,20418
GANDHINAGAR,20,232,630,2034,11794,567,760,99,3206,200,1692,0,2169,31585,49069
SABAR KANTHA,23,282,982,2144,5376,665,1208,454,3171,436,2316,0,2885,39378,56623
JAMNAGAR,23,384,754,2550,10272,761,870,151,4899,260,2852,0,25,34532,53364
JUNAGADH,47,284,1326,3027,12550,1068,1552,289,5924,519,4985,0,2380,31030,58705
KHEDA,9,298,972,1695,7780,674,1057,205,4269,361,1817,0,2774,35301,53275
KUTCH,41,194,756,2721,8438,610,857,120,4110,276,2388,0,2351,23964,42700
MAHESANA,25,184,1322,3241,14860,1083,1305,217,9223,353,2648,0,2114,28546,57597
NARMADA,9,146,120,247,782,146,159,69,1228,63,113,0,675,5076,8518
NAVSARI,5,84,232,941,2918,176,540,40,953,45,386,0,0,9602,14631
BANAS KANTHA,14,630,1468,3108,9648,861,989,282,12298,598,2487,0,2273,22330,51920
PANCHMAHAL,7,224,1092,1962,6130,553,776,348,4008,367,1583,0,341,23069,37522
PATAN,6,216,676,1349,7112,647,688,136,4283,349,1521,0,1340,17182,31882
PORBANDAR,14,80,228,540,1798,117,484,49,1235,68,676,0,551,6997,11988
RAJKOT COMMR.,31,186,1028,3724,26506,981,1372,314,4818,184,2787,0,1282,22132,52176
RAJKOT,61,498,1280,2597,8542,782,1193,218,4796,416,3078,0,3274,28670,51010
SURAT,185,622,2300,5881,46680,1207,3191,103,6788,380,2956,0,3844,34301,85040
SURAT RURAL,14,246,422,1261,5066,311,670,90,2370,119,647,0,4395,13121,26600
SURENDRANAGAR,17,412,882,1591,5698,752,930,116,5805,484,1213,0,2066,19379,36446
VADODARA COMMR.,11,162,1020,5013,32216,1806,2626,441,3813,169,2290,0,1664,32216,67448
VADODARA,22,400,1176,1271,5398,594,941,294,4199,309,875,0,3239,19950,36234
VALSAD,8,184,410,2329,8122,400,891,80,2302,104,359,0,793,15021,27176
W.RLY,2,32,82,781,17524,92,320,4,498,64,50,0,41,2659,13502
TOTAL,932,8498,30492,79097,426414,22192,36237,5647,135218,8998,60796,0,54385,729684,1385775
TAPI,7,40,26,113,664,36,81,13,528,21,56,0,571,1557,3440
CID CRIME,0,4,0,0,4,0,42,0,0,0,0,0,0,3,54
KUTCH,3,50,98,242,1024,58,96,12,520,25,326,0,5,3703,5656
KUTCH (WEST-BHUJ),2,46,66,195,760,96,77,8,350,32,235,0,9,2220,3725
W.RLY AHMEDABAD,0,2,8,29,852,13,17,0,61,8,2,0,3,92,669
W.RLY VADODARA,1,0,8,24,1888,1,61,0,84,3,1,0,5,105,1244
