DISTRICT,Murder,Sex Crime,Missing,Robbery,Theft,Public Nuisance,Fraud,Arson,Gun Violence,Assault,Harrassment,Human Trafficking,Accident,Others,total
AMBALA,142,474,620,3232,8746,24,1444,84,2518,235,1994,0,30,11279,26471
BHIWANI,314,618,952,2934,10016,1640,1275,199,3138,340,1218,0,70,12055,29979
FARIDABAD,274,1002,2222,4306,27978,1845,2204,105,2992,420,5633,0,1306,28034,63980
FATEHABAD,112,292,636,1461,4992,227,853,57,2075,169,1099,0,46,6690,16246
GRP,84,30,80,190,7952,135,120,0,157,47,1360,0,192,5371,12011
GURGAON,278,814,1458,7212,49040,1079,2577,117,2089,305,1778,0,206,21940,64761
HISAR,236,574,1172,3631,14856,577,1989,142,4036,338,2227,0,49,15352,38246
JHAJJAR,215,462,530,1868,6788,693,812,62,1614,269,1504,0,1893,5628,19514
JIND,258,604,596,2226,7440,1061,1176,78,1719,197,1048,0,34,7622,20557
KAITHAL,157,436,394,1812,5740,0,951,104,2422,188,1601,0,71,6555,17689
KARNAL,255,1124,850,3373,15412,558,1450,98,6442,363,2320,0,2856,8174,35540
KURUKSHETRA,144,686,606,2791,12102,3,1530,75,2243,226,1367,0,24,10857,26498
MAHENDRAGARH,125,396,556,1419,4882,839,467,115,1783,236,593,0,53,9608,18618
PANCHKULA,52,288,458,1802,6864,21,892,8,410,194,943,0,335,7244,15938
PANIPAT,235,1048,1086,2882,15848,641,938,52,2039,227,1773,0,2675,7919,29195
REWARI,149,424,554,2129,8426,493,649,125,1899,253,784,0,48,11454,23249
ROHTAK,226,800,654,3459,13104,629,1265,94,2087,257,1396,0,2125,8576,28707
SIRSA,127,554,774,2259,7890,307,733,106,3807,216,1454,0,45,7952,22404
SONIPAT,290,588,1112,3059,13440,73,1137,127,3315,306,1740,0,2901,10551,32592
YAMUNA NAGAR,119,554,888,2123,8500,7,668,83,2241,216,1431,0,32,8741,21321
TOTAL,3987,12820,17312,56170,262788,12656,24301,1906,51254,5323,35300,0,15197,224844,595303
MEWAT,72,528,386,677,4692,892,532,36,925,107,1171,0,19,6012,13684
PALWAL,107,460,522,815,6462,911,437,31,1128,179,616,0,184,6009,14679
AMBALA RURAL,8,22,56,127,418,0,49,3,66,12,77,0,2,462,1082
AMBALA URBAN,8,42,150,383,1200,1,153,5,109,23,173,0,1,759,2342
