DISTRICT,Murder,Sex Crime,Missing,Robbery,Theft,Public Nuisance,Fraud,Arson,Gun Violence,Assault,Harrassment,Human Trafficking,Accident,Others,total
BILASPUR,15,242,186,565,1388,586,313,187,653,341,363,0,431,8692,13237
CHAMBA,17,284,370,1270,836,216,111,86,764,259,128,0,547,3464,7766
G.R.P.,0,0,2,6,60,6,2,0,3,0,0,0,0,59,112
HAMIRPUR,16,136,240,508,982,344,287,114,2533,230,376,0,376,5566,11154
KANGRA,35,464,692,1583,3008,1284,713,253,2637,505,688,0,71,16824,27141
KINNAUR,2,126,62,314,228,146,42,9,128,38,46,0,299,974,2248
KULLU,13,412,288,685,1202,461,212,59,525,273,176,0,523,6105,10154
LAHUL AND SPITI,0,20,8,26,56,14,13,5,22,5,13,0,107,565,822
MANDI,12,522,328,1064,1894,782,509,300,1903,718,553,0,767,13824,22050
SHIMLA,18,618,532,1672,4354,1228,689,251,798,481,378,0,1080,14282,23949
SIRMAUR,11,256,288,545,1220,768,292,66,574,329,286,0,646,4851,9415
SOLAN,30,274,304,918,2144,681,326,76,3595,237,275,0,604,6079,14358
UNA,15,200,218,671,1580,458,400,72,1191,156,363,0,659,5458,10615
TOTAL,185,3608,3596,9971,19316,7076,4006,1484,15909,3597,3684,0,6309,87178,154948
BADDIPOLICEDIST,1,54,78,144,362,102,96,6,583,25,39,0,199,423,1913
CID,0,0,0,0,2,0,1,0,0,0,0,0,0,12,14
