DISTRICT,Murder,Sex Crime,Missing,Robbery,Theft,Public Nuisance,Fraud,Arson,Gun Violence,Assault,Harrassment,Human Trafficking,Accident,Others,total
ANANTNAG,21,310,1882,1736,2860,1321,498,302,262,948,435,0,289,7228,16464
AWANTIPORA,1,104,374,352,748,262,103,17,10,243,45,0,134,2713,4686
BARAMULLA,26,390,2054,1620,3616,1522,322,273,143,1403,304,0,22,7456,17683
BORDER,1,70,104,100,220,103,60,14,63,48,63,0,194,2452,3451
BUDGAM,38,208,1526,1030,4156,1659,266,140,32,1079,259,0,207,5359,13673
CRIME JAMMU,0,0,0,0,4,0,350,0,0,0,0,0,0,7,369
CRIME SRINAGAR,0,0,0,0,4,0,679,0,0,0,0,0,0,1,686
DODA,5,336,710,521,898,240,167,212,234,191,180,0,162,4680,8995
GANDERBAL,10,148,798,447,1150,728,153,108,41,683,57,0,305,2178,5961
JAMMU,135,580,1470,2858,11006,1041,1329,199,426,347,1192,0,1395,26839,43451
KARGIL,2,16,44,61,126,71,30,17,2,18,3,0,44,834,1189
KATHUA,36,328,540,658,1328,494,204,105,223,204,195,0,332,8666,12652
KULGAM,11,214,1132,652,1314,821,224,127,292,542,116,0,277,2942,7745
KUPWARA,10,204,880,486,1194,979,210,145,74,593,103,0,73,2825,7955
LEH,2,70,56,149,172,56,77,0,14,45,3,0,0,1628,2168
POONCH,11,322,544,305,1036,840,164,164,521,234,177,0,62,4151,8981
PULWAMA,17,158,960,813,2260,1507,181,157,555,317,116,0,95,2363,8754
RAILWAYS,2,6,6,2,222,16,3,2,0,1,6,0,4,77,242
RAJOURI,52,590,816,632,1326,419,320,340,359,294,423,0,254,10711,16348
RAMBAN,7,218,292,280,802,158,115,123,103,82,45,0,24,5568,7908
REASI,12,176,296,215,652,38,98,99,40,95,63,0,13,3159,5070
SRINAGAR,28,458,2530,3775,10666,2146,1161,359,261,2462,1455,0,531,13216,33733
UDHAMPUR,18,336,292,704,1592,391,147,45,118,190,235,0,22,9092,12413
TOTAL,482,5620,19330,18550,51534,16207,7271,3166,3883,11509,5793,0,4524,132921,259155
HANDWARA,19,132,592,272,864,413,114,68,38,579,73,0,33,1908,4887
BORDER DISTRICT,3,24,44,39,188,53,22,2,24,14,17,0,1,839,1192
BANDIPORA,4,32,498,183,560,387,33,34,5,348,40,0,0,963,2606
KISHTWAR,3,40,218,92,238,2,56,25,8,42,50,0,10,1081,1750
SAMBA,6,48,82,144,426,110,51,16,18,34,57,0,4,2659,3497
SHOPIAN,0,62,360,185,1006,264,67,44,14,299,34,0,35,776,2578
RAILWAYS KMR,0,0,0,1,0,0,0,0,0,2,0,0,0,7,10
CRIME KASHMIR,0,0,0,0,0,0,32,0,0,0,0,0,0,0,32
SOPORE,2,40,228,237,848,163,30,28,3,172,45,0,0,513,1952
RAILWAYS JAMMU,0,0,0,0,12,0,3,1,0,0,1,0,2,13,29
RAILWAYS KASHMIR,0,0,2,1,36,3,2,0,0,0,1,0,0,17,43
RAILWAYS KATRA,0,0,0,0,4,0,0,0,0,0,0,0,0,0,2
