DISTRICT,Murder,Sex Crime,Missing,Robbery,Theft,Public Nuisance,Fraud,Arson,Gun Violence,Assault,Harrassment,Human Trafficking,Accident,Others,total
BOKARO,270,930,1110,2243,13410,1695,1295,78,1360,146,803,0,445,13168,30448
CHAIBASA,201,966,364,676,2970,327,290,51,425,135,188,1,290,3536,10278
CHATRA,175,340,334,767,2078,1207,151,48,166,20,77,0,411,5586,10667
DEOGHAR,219,870,418,1627,4608,1797,466,76,2631,129,428,12,455,6622,18503
DHANBAD,575,898,1920,3571,17896,2776,1354,98,2979,403,505,0,63,18996,43124
DHANBAD RLY.,17,24,56,482,3880,89,54,0,2,43,7,0,13,1093,3868
DUMKA,166,1114,626,919,4054,1046,428,128,2338,245,541,4,829,5555,16483
GARHWA,203,642,486,888,1782,1809,522,129,2712,82,365,5,383,4989,14566
GIRIDIH,464,964,930,2128,6620,2813,689,144,1060,495,637,5,1139,13877,29221
GODDA,88,1042,820,849,3120,1302,290,108,1849,131,397,0,110,10275,19021
GUMLA,90,996,698,983,1934,409,284,81,479,102,126,2,615,3077,10362
HAZARIBAGH,482,1100,1172,2739,10762,2733,1319,162,2779,360,662,0,580,11994,31956
JAMSHEDPUR,271,1212,1364,2387,18728,1325,2046,155,4973,382,899,1,1220,10991,37675
JAMSHEDPUR RLY.,5,22,52,206,3192,39,43,1,76,24,6,0,9,812,2923
JAMTARA,88,476,304,434,1822,735,236,37,1059,122,260,0,131,2222,7138
KODERMA,142,228,396,635,2228,1025,640,29,1116,79,328,0,644,3612,10322
LATEHAR,67,324,332,708,1468,373,104,43,442,42,57,0,421,2081,6075
LOHARDAGGA,35,522,354,536,1480,333,276,53,524,74,210,0,286,1954,6046
PAKUR,85,934,352,317,1762,829,251,64,1393,95,362,0,322,2103,8257
PALAMU,274,584,938,1811,3650,2026,548,204,4385,109,299,69,446,6678,21289
RANCHI,275,1582,1984,4580,24552,2211,1681,161,4364,400,740,37,2828,14904,50140
SAHEBGANJ,98,1098,770,520,2366,636,409,75,1207,184,337,2,366,3396,10561
SARAIKELA,133,602,420,776,3906,389,366,11,819,88,226,0,692,3374,10538
SIMDEGA,28,512,284,447,886,121,133,45,343,33,48,1,151,1258,4426
TOTAL,4522,18318,16952,31821,142644,28599,14236,2012,40237,3985,8656,145,13612,154239,422351
KHUNTI,17,100,152,164,484,106,58,9,120,12,16,5,305,346,2128
RAMGARH,54,236,316,428,3006,448,303,22,636,50,132,1,458,1740,6336
