DISTRICT,Murder,Sex Crime,Missing,Robbery,Theft,Public Nuisance,Fraud,Arson,Gun Violence,Assault,Harrassment,Human Trafficking,Accident,Others,total
BAGALKOT,67,172,438,1206,3122,2162,607,104,3398,604,723,2,0,13059,24722
BANGALORE URBAN,606,1284,6028,29456,210868,4665,29384,48,37973,2630,4239,0,1182,124176,350347
BANGALORE RURAL,317,532,860,5277,18110,4589,1532,260,10804,1041,1151,0,0,40266,77461
BELGAUM,129,560,1026,3767,10260,4830,2735,268,11119,1576,2383,0,382,38161,73697
BELLARY,106,300,466,2186,7038,2680,879,131,6220,729,805,1,158,22873,41853
BIDAR,117,210,506,2175,4626,1934,611,209,11718,712,855,0,55,23267,45398
BIJAPUR,55,310,676,1882,3478,3567,818,193,7409,883,1392,10,0,18172,37987
CHAMARAJNAGAR,53,176,164,913,2990,1330,241,55,5348,527,387,1,0,7426,18501
CHIKMAGALUR,89,318,356,2105,5014,1747,453,76,9579,692,1094,5,50,15158,34702
CHITRADURGA,101,458,452,1765,5498,3401,566,89,9739,954,650,0,1,23788,44979
DAKSHIN KANNADA,28,254,264,2701,5536,2468,1082,235,5393,479,528,0,116,25409,42281
DAVANAGERE,161,342,442,2370,6592,2944,834,10,6103,873,1117,0,38,17337,36167
DHARWAD,32,80,418,2224,7294,1145,1500,75,2179,135,451,0,71,11573,23763
DHARWAD RURAL,42,88,174,466,1336,1194,262,18,1762,250,198,0,0,7533,13068
GADAG,35,88,166,736,1644,1298,337,42,1923,357,315,0,758,5232,12421
GULBARGA,124,612,1176,3413,6888,5328,1074,548,13278,1264,1541,0,184,23604,57080
HASSAN,147,418,532,3424,8018,2328,886,143,15135,965,1215,3,0,27310,57541
HAVERI,52,150,332,1063,2716,2787,523,0,3363,540,445,0,927,13328,25128
K.G.F.,69,128,208,901,2518,730,247,0,2930,181,248,0,184,3558,10857
KODAGU,47,258,192,1465,2264,714,316,34,5979,311,425,0,25,7675,19045
KOLAR,195,376,590,1779,7006,3342,501,0,6032,401,429,0,36,15445,33454
KOPPAL,113,204,322,1099,2248,1482,457,22,2440,314,560,0,0,10773,19152
MANDYA,145,512,504,3202,8992,3355,686,192,12973,915,1357,1,0,27855,57125
MYSORE COMMR.,83,248,386,3202,13454,888,1301,0,3617,218,961,21,0,13334,31459
MYSORE,137,400,504,2444,6014,2605,452,0,10660,1053,1143,0,0,16071,39229
RAICHUR,124,390,524,1428,3150,2851,1191,91,6592,1022,1334,0,129,15839,33624
RAILWAYS,14,10,42,339,10666,212,78,1,205,17,4,0,45,1098,7587
SHIMOGA,79,390,596,3181,7964,3188,941,145,12751,1119,2315,0,86,25914,55397
TUMKUR,224,416,568,3752,11086,2888,949,323,10624,1090,805,0,258,27393,55937
UDUPI,25,150,178,1844,2794,1537,438,56,3512,305,307,0,85,17829,27894
UTTAR KANNADA,74,146,166,1161,1964,1088,379,104,4345,632,673,0,0,20077,30179
TOTAL,3775,10348,20058,95879,399920,78421,53290,3711,251332,23699,30883,47,5078,681336,1481063
CBPURA,81,110,238,760,2658,1087,355,0,1856,225,233,0,8,4791,11337
RAMANAGAR,98,156,380,1657,4764,1277,344,185,2980,398,319,0,0,11152,21771
YADGIRI,5,46,136,186,408,567,94,38,983,231,187,0,267,1584,4620
MANGALORE CITY,1,56,48,350,942,213,237,16,410,56,94,3,33,3276,5300
