DISTRICT,Murder,Sex Crime,Missing,Robbery,Theft,Public Nuisance,Fraud,Arson,Gun Violence,Assault,Harrassment,Human Trafficking,Accident,Others,total
ALAPPUZHA,66,600,370,2870,6098,5146,2749,255,15835,2186,2906,0,17,58637,94788
CBCID,7,14,16,69,90,52,743,36,19,0,21,0,7,185,1339
ERNAKULAM,29,130,64,1492,4846,1312,663,49,3509,332,349,0,5,20029,30516
IDUKKI,26,732,170,2247,4810,3004,1571,146,16106,1668,2079,0,7,32504,62789
KANNUR,61,838,288,3397,4848,9807,1851,640,13662,1400,3176,0,49,33649,71381
KASARAGOD,55,960,226,2100,3662,5829,2192,360,9271,944,1862,0,25,15626,41110
KOLLAM,423,1116,476,3991,8070,6415,1893,434,22084,3035,4124,0,28,49595,97571
KOTTAYAM,67,788,408,4218,8170,4571,4232,190,20453,2310,2513,0,17,54004,97779
KOZHIKODE,28,184,34,1001,1994,2100,768,458,2184,253,682,0,6,8425,17140
MALAPPURAM,131,1382,340,4173,8796,7386,3728,292,10480,1685,6534,0,15,57986,98239
PALAKKAD,194,1276,282,3445,6314,6123,3017,396,14881,1312,3746,0,61,42717,80723
PATHANAMTHITTA,101,524,256,2203,4084,3433,1445,206,12603,1649,1758,0,13,31190,57475
RAILWAYS,2,4,14,131,4480,108,21,0,265,121,39,0,1,312,3262
THRISSUR,246,820,382,3783,8690,6521,4373,295,12523,1905,3061,0,73,62982,101593
THIRUVANANTHAPURAM,23,226,154,1629,2978,1856,907,144,4986,749,542,0,0,11284,24058
WAYANAD,56,788,124,1439,2874,2513,1356,111,8315,742,1255,0,23,12386,30318
TOTAL,2198,14894,5782,57843,124706,96274,49122,5580,232451,31490,49378,0,489,829883,1437459
ERNAKULAM COMMR.,76,408,208,2220,7144,2308,3303,56,4836,746,1206,0,15,85845,104786
ERNAKULAM RURAL,114,594,236,2799,7000,3472,2188,127,9241,1269,1641,0,24,97176,122473
KOZHIKODE COMMR.,68,338,208,3025,6146,3397,1905,133,5419,721,1854,0,9,20137,40216
KOZHIKODE RURAL,121,700,282,2015,3918,6809,1655,610,9826,1314,2800,0,25,25355,53302
TRIVANDRUM COMMR.,54,520,426,3821,9166,4298,3551,136,9030,1684,1382,0,15,27629,57030
TRIVANDRUM RURAL,182,1212,582,4441,7470,6000,2620,348,19441,3885,3270,0,19,42137,87612
KOLLAM COMMR.,14,194,84,370,878,895,204,32,2148,363,715,0,1,7994,13431
KOLLAM RURAL,9,190,54,338,658,929,262,44,2909,525,652,0,14,6272,12517
THRISSUR COMMR.,18,126,50,208,616,805,1066,17,699,211,337,0,6,7311,11122
THRISSUR RURAL,27,230,48,418,906,1185,859,65,1726,481,874,0,14,18516,24889
