DISTRICT,Murder,Sex Crime,Missing,Robbery,Theft,Public Nuisance,Fraud,Arson,Gun Violence,Assault,Harrassment,Human Trafficking,Accident,Others,total
BALAGHAT,117,1614,196,1891,3886,442,258,163,4770,1548,777,0,938,17474,32210
BARWANI,65,934,128,1223,4570,365,154,99,3944,970,304,0,1430,12891,25039
BETUL,200,3048,506,2081,5008,144,289,187,4851,1865,885,0,1367,19873,37200
BHIND,450,776,582,2891,5844,966,442,184,10526,870,676,0,1543,18744,42889
BHOPAL,309,2544,1220,13167,50186,1189,2197,208,13023,2448,2590,3,3299,102247,169575
BHOPAL RLY.,21,40,34,381,24602,53,92,7,70,137,45,0,22,3245,16507
CHHATARPUR,298,1488,610,4113,5478,766,455,262,6614,2166,897,0,1313,29142,51353
CHHINDWARA,208,2690,426,2400,6268,640,551,227,15147,2384,1720,0,1900,21210,52310
DAMOH,310,1134,390,1963,3656,239,234,177,14382,1865,828,0,718,10234,34789
DATIYA,122,574,452,1709,3500,350,204,128,4920,787,333,0,818,14556,27410
DEWAS,185,1986,622,3760,17140,1034,698,378,5190,2240,2298,0,1886,42253,71266
DHAR,548,2248,806,3308,12714,929,772,380,7431,2152,1142,0,2284,34310,63019
DINDORI,54,740,54,480,680,90,137,39,1381,687,246,0,446,5862,10464
GUNA,167,1952,296,3003,6690,1008,387,228,12060,2157,831,2,1670,19667,46692
GWALIOR,556,1632,1666,13433,37444,1771,1824,250,12847,1967,2013,0,2778,50509,111206
HARDA,65,726,174,951,2638,171,109,44,4438,520,281,0,194,4959,13912
HOSHANGABAD,442,1490,520,3257,8276,373,449,149,5446,1498,983,0,300,22063,41312
INDORE,399,2510,1250,14227,81764,1616,2519,507,20260,3535,4778,5,4657,105984,204398
INDORE RLY.,14,44,14,97,4378,13,25,0,86,52,9,0,0,1118,3687
JABALPUR,537,2570,968,7289,22696,1137,1556,240,35159,3086,2654,3,2451,49612,119446
JABALPUR RLY.,16,44,20,249,7720,20,32,1,86,68,17,0,2,1528,5963
JHABUA,62,870,846,1418,3968,378,135,392,6008,878,177,0,291,14751,29024
KATNI,232,1072,218,2049,4690,296,438,103,12077,1525,873,0,1334,11204,33916
KHANDWA,96,1434,394,3504,7394,545,348,133,691,2005,782,0,1039,26681,41293
KHARGON,330,1336,324,2578,12700,740,532,151,4811,1857,794,1,1812,26432,48202
MANDLA,57,1288,154,1183,1740,143,211,69,3946,1162,484,0,812,12434,22636
MANDSAUR,82,1042,502,2395,8720,544,688,233,3296,1436,891,11,1177,20985,37672
MORENA,381,900,730,3510,10444,1742,408,148,18405,1030,813,0,1749,24189,60288
NARSINGHPUR,260,1466,164,1470,3552,349,233,208,12632,1608,798,0,1144,8494,30779
NEEMUCH,46,602,286,2088,6762,524,760,115,4930,694,733,9,744,10391,25263
PANNA,206,866,228,1682,2170,150,174,126,2157,964,383,1,596,12655,21413
RAISEN,216,2042,410,1737,5410,495,190,118,8639,2200,803,0,1383,22737,43662
RAJGARH,97,2046,554,2445,8164,1308,289,692,4548,2116,1362,0,1449,33600,54255
RATLAM,113,1756,492,2284,9050,490,814,238,5616,1541,1175,0,1324,23375,43683
REWA,418,1504,760,7099,11028,764,608,312,8805,1404,991,9,1929,27489,57608
SAGAR,415,3004,1050,5525,12182,1231,569,447,31377,4603,1980,0,1967,36580,95017
SATNA,388,1972,524,5455,10776,543,431,278,11530,2196,1196,0,2847,29726,62648
SEONI,174,1416,224,1439,3060,402,380,88,3916,1259,488,0,1228,17052,29447
SHAHDOL,175,1442,310,3352,5616,292,359,171,3286,1906,1162,0,104,23283,38499
SHAJAPUR,137,1652,384,3169,12064,827,476,341,13539,1782,1052,0,1298,12575,43219
SHEOPUR,38,430,214,744,1962,422,152,35,3984,489,262,0,312,6413,14570
SHIVPURI,186,1792,666,2787,6342,929,403,326,9903,1715,565,0,1839,26451,51018
SIDHI,289,1114,664,3271,5678,340,370,153,5634,1407,614,0,1235,21451,39209
SIHORE,119,1612,500,2530,8264,452,422,220,4501,1222,778,1,1587,23942,41929
TIKAMGARH,254,1404,338,2225,4054,653,248,270,11418,1617,484,14,978,15863,37897
UJJAIN,182,1676,918,7144,28378,1379,1134,419,8987,2128,2487,1,1550,54445,97841
UMARIYA,257,616,62,1193,1952,186,161,91,1704,759,325,0,83,9162,15583
VIDISHA,223,2274,418,3100,7584,815,529,323,8891,2537,1075,0,993,25205,50039
TOTAL,10870,72174,23916,162856,527720,31124,25452,10354,412577,79878,49286,60,64969,1196582,2413770
ANUPPUR,71,780,118,1063,1980,145,199,61,2147,657,387,0,231,7087,13866
ASHOK NAGAR,133,932,130,1154,2668,309,171,106,8174,1091,415,0,573,8392,22932
BURHANPUR,48,348,46,561,2150,174,145,38,1382,478,302,0,388,7418,12453
ALIRAJPUR,5,290,126,242,712,85,26,59,1402,136,30,0,362,3011,6449
SINGRAULI,97,412,228,587,1368,156,65,32,1610,474,318,0,595,5628,10813
