DISTRICT,Murder,Sex Crime,Missing,Robbery,Theft,Public Nuisance,Fraud,Arson,Gun Violence,Assault,Harrassment,Human Trafficking,Accident,Others,total
AHMEDNAGAR,119,1306,1028,7387,28810,4742,2594,505,8397,1278,5599,0,6858,16686,71762
AKOLA,95,598,624,4136,21524,1513,1375,421,9586,1109,2125,0,1514,14930,49341
AMRAVATI COMMR.,56,472,450,3448,19394,966,935,158,4873,488,1142,0,838,9146,32826
AMRAVATI RURAL,96,1284,556,3777,21492,1242,679,715,10291,1565,1895,0,1996,12649,47756
AURANGABAD COMMR.,76,448,604,4401,18016,1778,1978,148,4891,544,1777,0,1686,8632,36372
AURANGABAD RURAL,349,382,276,2671,9476,2555,689,436,8854,690,3079,0,2878,7231,35481
BEED,145,644,838,4942,14238,4587,1250,563,11603,995,3671,0,2933,9117,49141
BHANDARA,70,676,292,2549,11052,774,637,420,4368,629,1106,0,1586,9711,28350
BULDHANA,345,762,538,3149,17192,2432,1280,795,9240,1442,2828,0,2409,12853,47189
CHANDRAPUR,108,938,524,3961,16570,1383,1041,539,7347,1246,2474,0,2737,13706,44498
DHULE,83,356,244,2239,8316,1678,1084,143,4450,361,2176,0,2910,8667,29150
GADCHIROLI,47,490,232,1393,3212,317,276,559,2787,495,610,0,911,4326,14864
GONDIA,52,696,420,2562,8000,495,565,291,4249,965,914,0,1327,7097,23714
HINGOLI,52,350,254,1628,4400,1381,491,302,5277,465,1293,0,996,5493,20606
JALGAON,142,970,676,3791,17142,2825,3472,251,8827,1233,4677,0,4233,15214,55702
JALNA,288,386,364,3094,9062,2110,1068,325,6936,687,3201,0,1707,7829,33162
KOLHAPUR,274,696,602,3929,16896,2521,3492,208,6311,675,1451,0,3816,11557,44545
LATUR,402,462,604,3129,9254,2518,1179,401,10297,701,1763,0,2274,11722,40706
MUMBAI,99,1552,1586,16291,109872,944,9451,38,18382,1516,1500,0,3487,31636,141815
MUMBAI RLY.,14,62,112,900,43208,124,547,0,489,136,29,0,21,1100,25194
NAGPUR COMMR.,129,1132,1292,16004,54976,2555,4120,240,10923,849,2911,0,3106,32942,104410
NAGPUR RLY.,5,22,40,410,22408,123,204,8,286,72,23,0,24,1323,13825
NAGPUR RURAL,131,1112,564,4215,22308,1471,940,634,8576,1154,1690,0,4620,17286,54011
NANDED,331,792,910,5607,12582,3266,1933,743,15343,962,3288,0,2292,19659,62476
NANDURBAR,25,442,220,1087,4114,1089,559,65,3071,347,1077,0,1308,4412,16043
NASIK COMMR.,57,404,500,6201,27076,1495,2096,141,2933,398,1657,0,2384,8124,40123
NASIK RURAL,122,1088,610,3839,13290,4347,2079,295,9786,1054,4448,0,6651,15327,57106
NAVI MUMBAI,71,520,486,7581,33372,1449,3880,64,4972,449,1012,0,4277,9591,51475
OSMANABAD,38,616,422,2831,8732,1990,1316,301,7922,752,1818,0,2617,9183,34476
PARBHANI,96,480,492,3343,7582,1777,926,343,11617,680,2176,0,1336,3953,31594
PUNE COMMR.,114,1692,2174,17478,97796,6489,7817,224,13740,1060,3545,1,5687,30547,139973
PUNE RLY.,5,20,24,167,7200,38,57,1,68,18,3,0,10,443,4474
PUNE RURAL,240,1352,984,7752,28506,3355,2726,344,8220,1125,2450,0,10897,19310,74163
RAIGAD,69,506,248,2440,7926,1586,1252,111,3186,467,728,0,3641,7637,26251
RATNAGIRI,26,480,202,1965,5400,1003,895,243,2312,417,777,0,1574,4843,17421
SANGLI,135,858,550,3036,12878,1725,2264,343,4969,627,1223,0,3482,7412,33509
SATARA,119,740,654,5366,19590,2114,2059,307,5545,751,2307,0,4839,13679,48700
SINDHUDURG,25,196,120,1248,2682,493,545,148,1586,198,225,0,880,2661,9731
SOLAPUR COMMR.,34,458,362,2800,9218,961,1272,67,2182,222,845,0,1051,5342,20306
SOLAPUR RURAL,125,1178,786,3819,13234,3053,1298,406,7873,825,1952,0,5244,12899,46732
THANE COMMR.,125,1616,2092,16316,56058,3390,8968,214,17026,1534,3852,0,3702,13344,100617
THANE RURAL,196,1450,1024,9302,20736,3316,2996,326,9068,1334,1710,0,7326,11797,61234
WARDHA,77,820,548,3559,16116,1268,881,636,9289,1218,1446,0,1883,16073,45933
WASHIM,110,434,410,1748,9384,1140,457,334,5368,765,1600,0,1056,6761,25088
YAVATMAL,202,1262,996,4045,22594,1502,995,541,12091,1521,2693,0,2667,18642,58921
TOTAL,5658,35972,30202,235168,1113614,90244,104474,14515,353760,39219,92473,2,134613,560060,2273436
MUMBAI COMMR.,139,2772,2668,23632,170730,2364,17856,218,28353,3200,3707,1,4942,47568,222670
