DISTRICT,Murder,Sex Crime,Missing,Robbery,Theft,Public Nuisance,Fraud,Arson,Gun Violence,Assault,Harrassment,Human Trafficking,Accident,Others,total
BISHNUPUR,5,80,286,156,594,84,116,89,460,109,21,0,4,1458,3612
CHANDEL,0,8,54,107,96,15,26,46,99,4,0,0,5,275,911
CHURACHANDPUR,5,58,134,116,374,12,48,19,47,12,2,0,1,567,1553
IMPHAL(EAST),6,50,214,47,338,83,193,60,249,18,2,0,0,909,2176
IMPHAL(WEST),5,68,424,185,1388,208,262,163,507,101,12,0,42,2286,5146
SENAPATI,3,14,198,153,320,48,54,95,39,2,0,0,2,773,1720
TAMENGLONG,0,4,44,36,106,17,10,45,25,1,0,0,2,166,463
THOUBAL,7,226,800,230,924,155,352,126,905,72,99,0,27,2065,6039
UKHRUL,1,10,50,62,148,11,73,76,34,2,1,0,0,245,760
TOTAL,44,774,3622,2007,9668,851,1712,952,3433,504,222,0,87,12737,35072
IMPHAL EAST,3,94,556,443,1216,77,156,113,390,65,32,0,0,1253,4176
IMPHAL WEST,9,162,862,472,4164,141,414,120,678,118,53,0,4,2739,8507
CID,0,0,0,0,0,0,8,0,0,0,0,0,0,1,9
