DISTRICT,Murder,Sex Crime,Missing,Robbery,Theft,Public Nuisance,Fraud,Arson,Gun Violence,Assault,Harrassment,Human Trafficking,Accident,Others,total
DIMAPUR,16,126,450,1239,3656,8,246,24,131,50,12,1,232,934,5415
KIPHIRE,2,4,8,19,84,0,5,0,1,0,0,0,0,97,195
KOHIMA,20,126,132,388,1432,1,175,1,58,17,2,0,25,849,2710
MOKOKCHUNG,19,24,52,123,328,9,31,15,64,5,3,0,52,190,840
MON,11,26,26,119,408,2,34,5,65,3,0,0,24,157,771
PEREN,4,14,14,51,150,0,10,2,23,6,1,0,5,50,323
PHEK,16,36,32,95,192,3,20,6,60,10,0,0,0,151,603
TUENSANG,6,20,18,79,180,29,35,5,5,3,0,0,11,198,559
WOKHA,2,26,36,60,742,11,23,12,78,2,1,0,20,170,902
ZUNHEBOTO,3,36,12,137,400,1,16,0,44,0,0,0,3,213,731
TOTAL,101,440,784,2313,7604,65,598,70,532,96,19,1,372,3050,13133
LONGLENG,2,2,4,3,32,1,3,0,3,0,0,0,0,41,84
