DISTRICT,Murder,Sex Crime,Missing,Robbery,Theft,Public Nuisance,Fraud,Arson,Gun Violence,Assault,Harrassment,Human Trafficking,Accident,Others,total
ANGUL,175,966,674,2176,7500,1433,549,215,549,2049,761,0,2084,12902,28700
BALASORE,467,1322,1448,2814,6644,640,964,277,9038,1600,1925,0,12,12476,35784
BARAGARH,134,570,332,1400,3924,1118,404,208,607,932,1044,0,1396,6865,17604
BERHAMPUR,85,306,342,1804,4116,458,643,122,1926,1136,483,0,819,4611,15429
BHADRAK,251,918,804,1055,2594,471,614,196,301,866,1204,0,804,13487,22156
BOLANGIR,107,906,574,1479,3554,1024,676,159,1164,1635,646,0,804,9981,21339
BOUDH,20,178,134,332,830,277,91,124,1520,516,171,0,93,1344,5307
CUTTACK,547,844,1154,3943,11862,726,998,232,1301,451,1442,0,3061,19987,40902
DEOGARH,26,296,164,479,754,188,120,57,2057,691,188,0,374,1202,6364
DHENKANAL,180,488,544,1472,4002,1100,447,239,806,1831,451,0,1091,7924,19155
GAJAPATI,21,206,188,297,692,442,146,158,460,425,142,0,319,1799,5035
GANJAM,277,828,740,2358,3784,1243,522,365,2997,2671,502,0,1326,7072,24398
JAGATSINGHPUR,216,518,666,1528,3964,308,426,135,1587,171,591,0,1937,7127,17153
JAJPUR,342,664,916,1921,5468,616,501,167,6818,709,986,0,1908,6283,24607
JHARSUGUDA,45,340,204,1381,4496,458,353,105,3228,568,304,0,1464,2999,13924
KALAHANDI,92,872,506,1149,1958,881,744,87,2346,744,591,0,600,5495,15018
KANDHAMAL,51,736,530,847,1644,1095,390,476,3871,1022,548,0,29,1188,11437
KENDRAPARA,357,614,670,1419,2486,280,255,152,739,178,650,0,289,8715,15675
KEONJHAR,270,1254,876,1876,5616,864,589,254,1778,1777,838,0,3477,8562,25987
KHURDA,243,1070,1190,5540,16884,786,2024,213,9204,706,1360,1,1442,14045,46286
KORAPUT,74,1088,638,1532,3180,824,387,129,427,1202,867,0,1054,7762,17674
MALKANGIR,47,334,210,384,992,346,153,73,463,335,173,0,217,1564,5325
MAYURBHANJ,301,1942,1136,1852,5394,347,666,192,1339,2084,1500,0,1556,11660,27405
NAYAGARH,138,492,612,1062,2788,383,320,133,3734,119,418,0,451,3277,12732
NOWRANGPUR,28,674,540,735,1576,546,186,79,797,711,398,0,435,4058,9909
NUAPADA,31,232,244,460,1400,289,232,70,505,473,262,0,286,4431,8234
PURI,280,802,808,3119,7502,870,584,184,1020,228,762,0,1731,17936,32735
RAYAGADA,63,550,398,734,1796,581,299,87,339,765,392,12,818,4553,10638
ROURKELA,47,590,356,1754,6408,270,582,49,1715,775,466,0,1088,7050,18312
SAMBALPUR,32,652,380,2990,7206,794,517,110,2349,800,403,0,1675,11215,26185
SONEPUR,25,254,132,440,1106,298,171,54,706,518,136,5,211,2121,5797
SRP(CUTTACK),2,16,74,257,8226,12,60,2,328,73,17,0,5,1039,6016
SRP(ROURKELA),4,30,48,299,3922,30,36,0,49,65,16,0,35,1258,3893
SUNDARGARH,59,712,440,1474,3988,447,338,104,5868,732,249,0,2083,3109,18386
TOTAL,5253,22860,19458,55271,165674,20877,17090,5280,75761,29946,21636,18,36507,246206,647946
DCP BBSR,100,404,488,1900,11850,283,804,56,3699,274,299,0,858,6096,21234
DCP CTC,116,192,298,1009,5568,149,299,17,126,114,451,0,675,5013,11211
