DISTRICT,Murder,Sex Crime,Missing,Robbery,Theft,Public Nuisance,Fraud,Arson,Gun Violence,Assault,Harrassment,Human Trafficking,Accident,Others,total
AMRITSAR,103,270,698,1311,5050,0,2321,33,1906,129,664,0,987,4503,15878
BARNALA,70,282,190,500,1446,2,838,14,1091,98,205,0,775,2374,7376
BATALA,100,436,378,685,2244,0,1262,28,1904,111,396,0,700,2808,10143
BHATINDA,197,604,768,2094,5754,1,2261,65,2860,264,529,0,256,6259,19491
FARIDKOT,45,260,284,783,2102,0,929,24,1889,129,279,0,5,2865,8740
FATEHGARH SAHIB,67,210,320,699,2282,0,1106,2,1526,70,212,0,1492,2434,9337
FEROZEPUR,48,218,150,456,1396,0,598,22,1738,80,146,0,376,1272,6033
G.R.P,41,14,14,26,992,16,229,3,160,22,0,0,0,3337,4482
GURDASPUR,220,450,528,645,1938,0,817,16,1261,136,362,0,1542,3711,10725
HOSHIARPUR,171,650,632,1509,3654,2,1773,84,3417,169,733,0,2164,3846,17287
JAGRAON,44,218,234,444,1176,0,451,8,943,55,166,0,471,1710,5444
JALANDHAR,232,730,1586,2867,9054,1,3895,113,4711,321,1030,0,1983,8008,30397
KAPURTHALA,89,380,508,1204,3476,6,1922,32,2251,153,410,0,1168,3312,13459
KHANNA,79,222,310,798,2346,1,903,7,1397,57,254,0,1411,3092,9915
LUDHIANA,182,796,1730,2542,10640,0,3546,61,2516,386,1532,0,2299,12387,33313
MAJITHA,65,132,182,209,636,0,452,14,869,50,128,0,490,1024,4151
MANSA,127,342,228,579,1256,0,786,22,1817,73,180,0,131,2495,7787
MOGA,115,304,470,1114,3028,4,1619,30,2699,151,270,0,931,2731,12371
MUKTSAR,82,298,356,799,2164,1,795,19,1699,88,232,0,652,1917,8306
NAWAN SHAHR,31,164,178,486,1228,0,571,14,1394,53,150,0,514,907,5181
PATIALA,227,644,940,2642,8402,0,3298,41,4469,422,1428,0,3791,13793,36285
ROPAR,70,272,412,921,3152,0,1173,35,1329,155,331,0,2010,4698,13042
SANGRUR,182,578,556,1601,4254,0,1755,48,2582,200,604,0,1708,6406,18771
TARN TARAN,98,442,428,690,1928,0,1234,0,1815,169,232,0,886,2521,9950
TOTAL,3104,10918,15238,31245,101006,34,42275,907,56920,4047,12760,2,33339,116027,384131
FEROZPUR,89,444,458,1010,3346,0,1440,59,3032,95,358,0,927,3214,13155
SAS NGR,66,266,478,1199,5062,0,1615,0,1005,77,290,2,2587,3398,13503
AMRITSAR RURAL,31,136,292,323,958,0,573,25,741,45,180,0,480,1108,4567
LUDHIANA RURAL,28,98,180,269,916,0,322,0,445,16,123,0,344,1118,3445
SBS NAGAR,27,144,110,439,892,0,401,8,815,27,132,0,448,757,3808
CP AMRITSAR,28,142,292,457,2126,0,865,14,440,31,298,0,218,1620,5604
CP JALANDHAR,36,140,282,602,2850,0,720,21,506,63,273,0,266,1455,5786
CP LUDHIANA,70,344,738,740,3770,0,1213,18,682,84,400,0,753,3257,10141
JALANDHAR RURAL,17,136,142,412,836,0,316,26,578,58,122,0,335,805,3443
FAZILKA,11,106,130,130,466,0,192,0,351,6,65,0,111,475,1802
PATHANKOT,16,46,56,60,186,0,84,1,82,4,46,0,128,410,1013
