DISTRICT,Murder,Sex Crime,Missing,Robbery,Theft,Public Nuisance,Fraud,Arson,Gun Violence,Assault,Harrassment,Human Trafficking,Accident,Others,total
AJMER,233,1032,2512,3924,17908,589,7423,190,4138,1023,5497,0,4889,37919,77731
ALWAR,520,1798,3196,3177,35328,957,8276,348,27728,1479,4783,0,4610,27345,101378
BANSWARA,87,1172,1398,1065,2716,1701,992,349,11890,866,1497,0,1224,9233,32173
BARAN,101,1282,1620,1536,7310,390,2285,224,4302,1864,2643,0,1111,18468,39385
BARMER,185,488,658,1268,5310,212,2375,250,7119,914,1390,0,1688,14585,33777
BHARATPUR,358,1502,3292,1523,23776,506,6197,407,8099,618,4104,0,2549,50404,91034
BHILWARA,149,1108,3012,3654,17656,1192,5081,251,1982,1176,4787,0,3095,31450,64635
BIKANER,215,932,790,1714,8656,129,4437,185,6008,691,3447,0,2275,19958,45708
BUNDI,95,910,2114,1618,6764,708,2119,190,9853,1456,2832,0,1399,15014,41281
CHITTORGARH,112,1476,3418,3316,13762,1836,3949,438,19974,1264,5495,0,2393,18445,67568
CHURU,147,720,776,1222,4714,505,3452,164,7861,418,2844,0,1530,11938,33949
DAUSA,161,370,1516,1252,15810,1319,2857,181,1099,273,1363,0,2443,30684,51097
DHOLPUR,278,622,1382,991,8444,1188,1636,133,15705,325,1653,0,1205,10554,40283
DUNGARPUR,75,518,1130,753,1604,1147,765,247,1858,643,937,0,1249,12698,22460
G.R.P.,15,22,80,107,9230,57,90,4,36,131,8,0,23,3017,8236
GANGANAGAR,203,1582,1584,2536,9210,114,8252,110,12004,844,6076,0,1868,22923,62875
HANUMANGARH,195,1184,938,1423,6184,221,5308,123,5339,888,3532,1,1393,19428,43586
JAIPUR,211,676,2334,5189,34882,8649,8561,264,7996,1006,2535,0,4192,41008,99527
JAISALMER,70,90,226,688,3092,198,723,81,1420,202,245,1,537,5450,11431
JALORE,130,268,796,1050,3866,209,1668,251,542,589,1239,0,1137,19270,29059
JHALAWAR,141,1322,1716,1892,9316,1014,1644,467,10760,1978,3306,0,1306,12560,42690
JHUNJHUNU,178,832,1146,1588,7722,951,3713,289,6135,570,2342,0,1816,23804,46937
JODHPUR,86,270,838,1942,10436,553,2901,201,11653,580,1322,1,1227,6948,33821
KARAULI,180,806,1844,635,10852,320,1931,233,771,459,1370,0,1003,29350,43750
KOTA,61,408,1372,2080,11154,529,1999,153,3081,843,1719,0,844,14340,33935
NAGAUR,187,986,1520,2511,9388,161,3978,229,2457,1376,2867,0,2408,28535,51660
PALI,174,964,2080,2639,8052,440,3954,234,531,1353,3626,0,3030,37123,59702
RAJSAMAND,50,250,1170,1167,4082,944,1994,152,10436,456,2021,0,1761,7304,29413
SAWAI MADHOPUR,100,490,1480,1204,10356,293,2452,149,236,469,1724,0,892,26299,40574
SIKAR,208,752,1654,2140,9854,2221,5134,367,4566,317,2353,0,3089,26553,54004
SIROHI,81,466,908,1373,3394,489,1821,172,5728,638,1435,0,1639,7847,24249
TONK,68,426,1520,1325,7140,1123,2631,134,13277,412,2786,3,1804,14238,42919
UDAIPUR,187,1914,3574,4031,15296,2983,6837,504,18161,1529,3254,0,3986,30212,83890
TOTAL,5955,31596,61454,75683,465948,36073,151200,8312,267353,30853,100455,6,78350,784991,1855916
JAIPUR EAST,75,386,936,3131,32462,717,4591,45,271,310,1342,0,1452,15382,44533
JAIPUR NORTH,70,342,886,1044,10678,267,4262,21,2430,228,1410,0,804,8381,25178
JAIPUR RURAL,124,520,1344,1742,12758,468,5338,178,4001,573,1596,0,4104,27746,53815
JAIPUR SOUTH,60,240,774,2223,19070,343,7115,30,1832,169,1342,0,1209,11124,35748
JODHPUR CITY,82,256,628,1219,9324,72,3329,46,3366,238,1485,0,904,5450,21731
JODHPUR RURAL,117,344,462,741,3074,61,1331,117,6650,281,692,0,1568,5583,19459
KOTA CITY,78,384,1150,1326,11948,28,3401,42,951,362,2431,0,794,10910,28085
KOTA RURAL,45,468,556,531,2482,67,1029,64,1524,609,1378,0,712,6720,14963
PRATAPGARH,24,798,686,284,1140,175,552,67,2402,314,979,0,346,3634,10372
G.R.P. AJMER,3,0,2,8,772,2,3,0,0,1,0,0,1,203,617
G.R.P. JODHPUR,0,4,0,2,182,3,0,0,1,1,2,0,0,44,149
G.R.P.AJMER,1,12,28,9,2222,6,18,0,9,22,0,0,3,236,1453
G.R.P.JODHPUR,1,2,6,2,336,2,1,1,1,9,0,0,5,85,286
JAIPUR WEST,12,122,314,675,4150,14,2063,14,467,43,465,0,549,3592,10279
JODHPUR EAST,14,40,30,66,794,0,449,1,417,16,296,0,114,459,2303
JODHPUR WEST,8,40,58,147,1292,0,283,12,286,27,5,0,170,538,2228
