DISTRICT,Murder,Sex Crime,Missing,Robbery,Theft,Public Nuisance,Fraud,Arson,Gun Violence,Assault,Harrassment,Human Trafficking,Accident,Others,total
ARIYALUR,13,148,272,233,1034,242,70,44,1544,241,65,0,531,6215,10219
CHENGAI,91,194,228,2068,8602,417,550,51,3442,329,442,0,2303,28662,43561
CHENNAI,304,1062,1254,7657,58758,996,7221,33,11699,849,4441,0,10434,86221,164467
CHENNAI RLY.,7,2,16,233,4530,105,86,0,348,42,22,0,51,2864,6097
COIMBATORE RURAL,109,394,1048,3562,21346,2580,1383,174,13866,912,1192,0,8862,53511,99023
COIMBATORE URBAN,43,200,344,2143,21568,795,1774,75,2583,245,687,0,2941,29658,52542
CUDDALORE,124,588,1260,1704,10848,2168,316,429,10813,619,878,0,4918,57162,87567
DHARMAPURI,117,354,1076,1310,5350,2334,532,458,11529,753,532,0,3147,23096,48360
DINDIGUL,45,340,1108,1546,9470,749,1035,237,5556,455,863,5,4872,37766,60083
ERODE,45,342,1014,2106,13484,499,1181,251,15755,635,520,0,6411,40565,76349
KANCHIPURAM,90,502,398,1794,9800,1068,539,135,5184,385,352,9,7024,52554,75996
KANYAKUMARI,63,220,626,2599,7248,38,1261,306,7242,239,1444,0,3113,28248,49772
KARUR,28,136,556,744,5628,273,290,72,2953,174,261,0,2768,19129,30376
MADURAI RURAL,112,488,1140,2328,8570,1927,1572,253,11095,752,875,0,4522,29960,60075
MADURAI URBAN,79,140,638,1617,12470,554,2318,71,1979,237,979,0,1377,19983,36716
NAGAPATTINAM,55,274,708,963,5746,568,374,337,9575,608,290,0,2096,27945,47332
NAMAKKAL,36,230,834,912,5222,753,576,148,10465,503,454,0,4222,24370,46314
NILGIRIS,8,180,128,961,2440,248,211,10,2561,232,142,0,458,10257,16825
PERAMBALUR,42,318,554,693,3618,534,407,145,4537,504,298,0,1738,14445,26288
PUDUKOTTAI,52,198,754,980,5116,1202,503,228,3512,508,407,0,2719,27899,41981
RAMNATHAPURAM,42,236,768,1110,4640,1226,616,284,5515,385,266,0,1903,22513,37777
SALEM RURAL,93,804,1970,1382,5656,2545,622,429,21864,1692,1039,0,5103,29704,70481
SALEM URBAN,52,308,522,837,7026,303,705,21,2967,139,497,0,1467,19179,30591
SIVAGANGAI,51,122,666,1275,5850,501,697,194,4049,196,580,0,2160,19807,33704
THANJAVUR,53,202,1074,2732,13906,1274,557,323,9150,931,384,0,4211,36833,65756
THENI,61,234,880,1370,6010,849,1243,209,7300,542,698,0,2183,27605,46741
THIRUNELVELI RURAL,78,1010,1204,2748,10420,133,1157,741,11797,1222,1159,0,3688,51712,83750
THIRUNELVELI URBAN,18,128,296,707,4328,150,472,57,1176,91,335,0,884,9381,16548
THIRUVALLUR,101,318,452,1117,4604,1133,424,133,7392,511,385,0,3059,23531,41317
THIRUVANNAMALAI,41,418,916,1246,7060,1800,693,294,8613,286,464,0,3324,28687,50648
THIRUVARUR,40,162,458,1020,4386,577,293,276,8384,506,238,0,1719,24010,40312
THOOTHUGUDI,41,496,798,2494,10758,472,1236,354,7145,340,1539,0,3155,35537,60701
TRICHY RLY.,3,2,2,59,1488,27,20,0,172,13,11,0,48,1006,2126
TRICHY RURAL,63,266,702,1043,4760,527,295,135,6555,251,355,1,5593,26824,45584
TRICHY URBAN,46,88,390,997,10404,95,859,19,2301,120,1061,0,1570,23217,36196
VELLORE,138,548,1218,2560,13642,999,1052,286,14838,461,608,0,6343,52065,88523
VILLUPURAM,95,1226,1904,1708,8756,3711,761,420,8886,1222,894,0,7478,49783,82961
VIRUDHUNAGAR,31,408,954,1796,9580,935,1386,261,6084,498,1513,0,2901,33457,55606
TOTAL,2660,13904,30606,66155,370320,37368,37149,8149,280673,19329,28231,15,140193,1186115,2060176
KRISHNAGIRI,46,250,754,1137,5110,1364,670,176,5892,333,381,0,3689,23687,41287
VILUPPURAM,12,98,98,116,612,250,23,36,468,50,64,0,567,3818,5959
CHENNAISUBURBAN,67,192,174,1103,4304,213,559,16,1874,154,351,0,1759,10410,19404
TIRUPPUR,25,78,450,1445,6172,234,610,28,2013,164,265,0,2882,12839,24261
