DISTRICT,Murder,Sex Crime,Missing,Robbery,Theft,Public Nuisance,Fraud,Arson,Gun Violence,Assault,Harrassment,Human Trafficking,Accident,Others,total
DHALAI,29,440,460,367,632,226,97,66,828,211,383,0,169,1230,4735
NORTH,32,956,594,645,1622,263,280,100,1702,537,1412,0,283,1983,9319
SOUTH,86,996,564,798,2216,576,377,134,2421,1030,1660,0,373,3799,13717
WEST,173,1554,1148,1491,4166,895,539,214,3490,870,2655,0,711,6187,21846
TOTAL,333,4116,2886,3417,9246,2025,1366,548,9306,2773,6553,0,1542,14044,52734
G.R.P.,0,0,0,1,6,0,0,0,1,1,0,0,0,0,6
GRP,0,0,0,0,16,1,2,0,3,0,0,0,0,5,21
GOMATI,4,52,32,35,264,29,18,7,321,34,157,0,0,342,1147
KHOWAI,3,20,10,19,66,13,12,7,131,22,36,0,0,116,423
SIPAHIJALA,3,46,58,47,168,16,15,17,250,42,156,0,5,279,987
UNAKOTI,3,52,20,14,90,6,26,3,159,26,94,0,1,103,533
