DISTRICT,Murder,Sex Crime,Missing,Robbery,Theft,Public Nuisance,Fraud,Arson,Gun Violence,Assault,Harrassment,Human Trafficking,Accident,Others,total
AGRA,1281,986,5082,4502,41450,3279,5255,121,5381,1278,4958,0,4605,20143,77987
ALIGARH,997,1272,4268,3321,20786,2823,4015,393,3756,994,3115,0,3103,13804,53786
ALLAHABAD,1158,860,2850,3633,18356,1847,3617,189,5073,665,2786,0,3812,20104,57048
AMBEDKAR NAGAR,289,334,1066,745,2686,381,892,56,1911,173,1030,0,599,3316,12268
AURAIYA,387,236,1168,554,2088,279,517,69,1526,187,433,0,1490,4032,12106
AZAMGARH,646,370,1396,1735,4164,1110,1303,22,3354,251,1243,0,1135,6694,22155
BADAUN,960,620,2014,1224,4690,329,969,173,3487,495,785,0,658,11356,27746
BAGHPAT,306,346,1060,941,4018,598,854,22,1111,185,972,0,943,4367,14906
BAHRAICH,597,600,1530,1189,3526,555,1401,127,1965,284,906,0,913,7078,18885
BALLIA,444,198,700,965,3098,744,697,41,1926,158,494,0,821,3784,13090
BALRAMPUR,177,212,520,340,1124,146,526,27,722,133,283,0,321,1493,5483
BANDA,486,504,696,839,2440,443,866,131,1158,500,498,0,515,6591,14794
BARABANKI,548,634,1796,1374,4974,366,1365,59,2993,394,1455,0,1807,9715,25212
BAREILLY,986,1346,3508,2691,14046,1290,3707,66,4640,1075,3237,3,2630,19471,53583
BASTI,344,240,602,651,2440,420,866,48,1542,123,673,0,986,4927,12900
BIJNOR,509,730,1910,1142,5868,613,2155,57,3313,442,2808,0,1983,7214,26305
BULANDSHAHAR,787,808,2634,1612,9220,1035,2214,81,2073,722,3407,0,2882,13332,38157
CHANDOLI,283,124,364,495,1746,92,798,25,1297,99,694,0,443,3345,9230
CHITRAKOOT,230,380,360,422,1046,93,302,40,426,215,140,0,517,1843,5551
DEORIA,513,190,746,751,2380,780,754,59,1608,118,394,0,1079,5873,14425
ETAH,834,622,1856,1243,5994,1071,1534,120,3040,492,1077,0,1660,9633,28395
