DISTRICT,Murder,Sex Crime,Missing,Robbery,Theft,Public Nuisance,Fraud,Arson,Gun Violence,Assault,Harrassment,Human Trafficking,Accident,Others,total
ALMORA,89,98,78,329,850,95,178,31,351,57,103,0,156,649,2784
BAGESHWAR,39,92,52,104,248,16,43,9,89,31,41,0,51,334,1052
CHAMOLI,39,88,92,284,408,173,95,19,189,66,41,0,154,514,2011
CHAMPAWAT,25,44,60,103,296,31,50,7,189,39,30,0,109,331,1203
DEHRADUN,200,568,1282,1945,10468,1216,2550,50,2325,259,1855,0,1687,5681,24859
HARIDWAR,258,686,1646,1718,11620,1389,2257,74,4355,365,1856,0,1911,4071,26741
NAINITAL,195,218,540,773,3968,390,535,5,672,121,357,1,833,3359,10211
PAURI GARHWAL,87,110,204,504,1210,179,246,31,617,64,148,0,278,741,3913
PITHORAGARH,75,118,66,280,504,110,113,29,227,78,88,0,13,1317,2799
RUDRA PRAYAG,59,52,60,187,252,119,68,14,118,45,47,0,113,263,1306
TEHRI GARHWAL,53,88,122,226,618,135,171,14,189,43,87,0,184,883,2581
UDHAM SINGH NAGAR,279,470,1378,1325,9116,1184,1232,7,1234,319,913,0,1189,7256,21638
UTTARKASHI,22,124,124,183,512,165,94,24,55,58,95,0,2,939,2106
TOTAL,1420,2756,5704,7961,40070,5202,7632,314,10610,1545,5661,1,6680,26338,103204
