DISTRICT,Murder,Sex Crime,Missing,Robbery,Theft,Public Nuisance,Fraud,Arson,Gun Violence,Assault,Harrassment,Human Trafficking,Accident,Others,total
NORTH 24 PARGANAS,1687,3766,6622,3003,43972,5484,3587,140,1879,1919,17493,8,180,56644,122795
SOUTH 24 PARGANAS,1178,4442,4418,2584,36852,8893,1599,129,1864,1438,18691,3,401,58961,120912
ASANSOL,212,358,564,832,6306,705,467,23,843,206,2578,0,1094,8614,19677
BANKURA,357,938,702,722,5644,1410,511,108,2199,584,1867,0,1636,5794,19848
BIRBHUM,492,1240,1064,951,7350,2691,567,181,2768,626,2631,0,2131,6978,26222
BURDWAN,747,1592,1728,1520,13258,3280,1386,128,1709,924,5174,1,5109,22351,52305
KOCHBIHAR,254,2434,2260,279,4576,737,632,81,1268,1005,3937,0,1065,11463,26418
DAKSHIN DINAJPUR,294,946,1420,319,3078,313,363,54,1526,733,2162,0,906,6943,17468
DARJEELING,244,800,982,671,11520,449,589,70,5390,486,1373,1,1545,6408,24495
HUGLI,537,1148,1586,1856,14936,5065,1365,273,2375,457,7050,0,1940,15784,47090
HOWRAH,397,838,1826,1046,12404,1828,1853,52,1898,695,5326,0,2830,20534,44803
HOWRAH CITY,118,220,784,782,8168,406,962,31,690,259,1532,0,556,8720,18870
HOWRAH G.R.P.,23,20,110,348,10356,85,150,1,80,60,9,1,8,1067,7308
JALPAIGURI,627,3554,3706,1231,26458,791,1310,121,5558,1887,6750,0,2884,24018,64179
KOLKATA,374,866,3068,3172,82634,2993,18077,0,19434,2572,5469,27,5334,55938,158429
MALDAH,399,2662,2646,617,8076,654,825,47,3357,1205,4240,0,799,14434,35343
MIDNAPUR,102,168,148,147,1162,363,66,23,63,54,471,0,9,2440,4617
MURSHIDABAD,864,6704,5886,1322,15666,3143,1761,248,18652,3487,17262,0,3198,17323,85689
NADIA,793,3468,5064,1224,23046,2446,2001,153,14539,1610,11328,72,2351,23783,79313
PURULIA,191,994,552,572,5052,920,441,24,205,601,1778,0,206,7976,16958
SEALDAH G.R.P.,32,38,134,285,5962,128,120,0,247,56,12,0,4,549,4746
SILIGURI G.R.P.,9,4,62,35,2308,26,12,0,0,31,2,0,0,413,1760
UTTAR DINAJPUR,308,1666,2118,568,7368,683,475,156,5202,712,3104,1,1029,10458,29972
TOTAL,11505,41574,51998,26303,380936,51154,41671,2364,94152,22871,132222,114,37751,426194,1119304
KHARAGPUR G.R.P.,5,6,30,101,2652,24,15,0,29,19,10,0,14,203,1816
PASCHIM MIDNAPUR,637,1410,1612,1192,9192,3337,940,249,1298,745,5365,0,24,17031,38981
PURAB MIDNAPUR,553,1110,2084,651,6640,4082,848,68,113,291,4860,0,2254,15992,35502
BDN CP,13,26,106,83,1694,32,204,0,0,58,328,0,0,1765,3446
BKP CP,38,72,428,117,2714,125,276,0,143,88,991,0,124,2961,6608
JHARGRAM,11,42,42,33,194,52,21,1,11,28,47,0,51,264,711
SILIGURI_PC,9,42,246,40,1698,9,248,3,812,35,382,0,69,385,3023
