STATE/UT,Murder,Sex Crime,Missing,Robbery,Theft,Public Nuisance,Fraud,Arson,Gun Violence,Assault,Harrassment,Human Trafficking,Accident,Others,total
ANDHRA PRADESH,7978.0,26958.0,42478.0,107008.0,574380.0,27459.0,114078.0,11968.0,546565.0,51999.0,155138.0,17.0,138435.0,482252.0,2018981.0
ARUNACHAL PRADESH,38.0,1000.0,1714.0,3887.0,10356.0,340.0,1077.0,250.0,5157.0,784.0,185.0,0.0,745.0,7396.0,27652.0
ASSAM,1994.0,32356.0,55878.0,46642.0,170950.0,34963.0,21691.0,7918.0,69183.0,13620.0,39500.0,8.0,30205.0,181354.0,597764.0
BIHAR,17220.0,26248.0,74440.0,76323.0,306744.0,105096.0,47044.0,8509.0,189266.0,7576.0,25906.0,440.0,44442.0,538591.0,1346293.0
CHHATTISGARH,1490.0,23676.0,6690.0,51405.0,125746.0,10897.0,9281.0,3147.0,85026.0,19165.0,11298.0,5.0,25432.0,245855.0,561027.0
GOA,86.0,700.0,472.0,4053.0,16090.0,813.0,1899.0,272.0,2287.0,328.0,314.0,0.0,2664.0,9948.0,32051.0
GUJARAT,932.0,8498.0,30492.0,79097.0,426414.0,22192.0,36237.0,5647.0,135218.0,8998.0,60796.0,0.0,54385.0,729684.0,1385775.0
HARYANA,3987.0,12820.0,17312.0,56170.0,262788.0,12656.0,24301.0,1906.0,51254.0,5323.0,35300.0,0.0,15197.0,224844.0,595303.0
HIMACHAL PRADESH,185.0,3608.0,3596.0,9971.0,19316.0,7076.0,4006.0,1484.0,15909.0,3597.0,3684.0,0.0,6309.0,87178.0,154948.0
JAMMU & KASHMIR,482.0,5620.0,19330.0,18550.0,51534.0,16207.0,7271.0,3166.0,3883.0,11509.0,5793.0,0.0,4524.0,132921.0,259155.0
JHARKHAND,4522.0,18318.0,16952.0,31821.0,142644.0,28599.0,14236.0,2012.0,40237.0,3985.0,8656.0,145.0,13612.0,154239.0,422351.0
KARNATAKA,3775.0,10348.0,20058.0,95879.0,399920.0,78421.0,53290.0,3711.0,251332.0,23699.0,30883.0,47.0,5078.0,681336.0,1481063.0
KERALA,2198.0,14894.0,5782.0,57843.0,124706.0,96274.0,49122.0,5580.0,232451.0,31490.0,49378.0,0.0,489.0,829883.0,1437459.0
MADHYA PRADESH,10870.0,72174.0,23916.0,162856.0,527720.0,31124.0,25452.0,10354.0,412577.0,79878.0,49286.0,60.0,64969.0,1196582.0,2413770.0
MAHARASHTRA,5658.0,35972.0,30202.0,235168.0,1113614.0,90244.0,104474.0,14515.0,353760.0,39219.0,92473.0,2.0,134613.0,560060.0,2273436.0
MANIPUR,44.0,774.0,3622.0,2007.0,9668.0,851.0,1712.0,952.0,3433.0,504.0,222.0,0.0,87.0,12737.0,35072.0
